locs,techs,timesteps,storage_loss
Moz-North-Center,storageD,2005-01-13 08:00:00,0.005926356713550151
Moz-North-Center,storageD,2005-01-13 09:00:00,0.00592621131537944
Moz-North-Center,storageD,2005-01-13 10:00:00,0.005926068248446435
Moz-North-Center,storageD,2005-01-13 11:00:00,0.0059259267358638896
Moz-North-Center,storageD,2005-01-13 12:00:00,0.005925785222668341
Moz-North-Center,storageD,2005-01-13 13:00:00,0.005925614666674264
Moz-North-Center,storageD,2005-01-13 14:00:00,0.005925433141109849
Moz-North-Center,storageD,2005-01-13 15:00:00,0.005925241432305056
Moz-North-Center,storageD,2005-01-13 16:00:00,0.005925059948140564
Moz-North-Center,storageD,2005-01-13 17:00:00,0.005924905169929317
Moz-North-Center,storageD,2005-01-13 18:00:00,0.005924774732138337
Moz-North-Center,storageD,2005-01-13 19:00:00,0.005924662344813432
Moz-North-Center,storageD,2005-01-13 20:00:00,0.00592453660904208
Moz-North-Center,storageD,2005-01-13 21:00:00,0.0059243551460211995
Moz-North-Center,storageD,2005-01-13 22:00:00,0.005924084584957186
Moz-North-Center,storageD,2005-01-13 23:00:00,0.005923808947717414
Moz-North-Center,storageD,2005-01-14 00:00:00,0.00592353842426969
Moz-North-Center,storageD,2005-01-14 01:00:00,0.0059233016740867644
Moz-North-Center,storageD,2005-01-14 02:00:00,0.0059230311847356795
Moz-North-Center,storageD,2005-01-14 03:00:00,0.0059227556973884396
Moz-North-Center,storageD,2005-01-14 04:00:00,0.00592251122474177
Moz-North-Center,storageD,2005-01-14 05:00:00,0.005922315684272581
Moz-North-Center,storageD,2005-01-14 06:00:00,0.005922146004332956
Moz-North-Center,storageD,2005-01-14 07:00:00,0.00592202960045661
Moz-North-Center,storageD,2005-01-14 08:00:00,0.005921903759945657
Moz-North-Center,storageD,2005-01-14 09:00:00,0.0059217582980384134
Moz-North-Center,storageD,2005-01-14 10:00:00,0.005921615175336742
Moz-North-Center,storageD,2005-01-14 11:00:00,0.00592147361586847
Moz-North-Center,storageD,2005-01-14 12:00:00,0.0059213320556939855
Moz-North-Center,storageD,2005-01-14 13:00:00,0.005921161519947821
Moz-North-Center,storageD,2005-01-14 14:00:00,0.005920980035733443
Moz-North-Center,storageD,2005-01-14 15:00:00,0.005920788386909894
Moz-North-Center,storageD,2005-01-14 16:00:00,0.005920606934208674
Moz-North-Center,storageD,2005-01-14 17:00:00,0.005920452115575389
Moz-North-Center,storageD,2005-01-14 18:00:00,0.0059203215689903645
Moz-North-Center,storageD,2005-01-14 19:00:00,0.005920209021390211
Moz-North-Center,storageD,2005-01-14 20:00:00,0.005920083157510332
Moz-North-Center,storageD,2005-01-14 21:00:00,0.005919901712420196
Moz-North-Center,storageD,2005-01-14 22:00:00,0.005919631404500157
Moz-North-Center,storageD,2005-01-14 23:00:00,0.0059193560615351535
Moz-North-Center,storageD,2005-01-15 00:00:00,0.005919098586318683
Moz-North-Center,storageD,2005-01-15 01:00:00,0.005918827389779456
Moz-North-Center,storageD,2005-01-15 02:00:00,0.005918554237599322
Moz-North-Center,storageD,2005-01-15 03:00:00,0.005918279787127872
Moz-North-Center,storageD,2005-01-15 04:00:00,0.00591800469546315
Moz-North-Center,storageD,2005-01-15 05:00:00,0.005917813455419075
Moz-North-Center,storageD,2005-01-15 06:00:00,0.0059176498832829655
Moz-North-Center,storageD,2005-01-15 07:00:00,0.005917497357869498
Moz-North-Center,storageD,2005-01-15 08:00:00,0.0059173392614404975
Moz-North-Center,storageD,2005-01-15 09:00:00,0.005917165444755786
Moz-North-Center,storageD,2005-01-15 10:00:00,0.005916987910767171
Moz-North-Center,storageD,2005-01-15 11:00:00,0.005916826955564399
Moz-North-Center,storageD,2005-01-15 12:00:00,0.005916677050942603
Moz-North-Center,storageD,2005-01-15 13:00:00,0.005916510548583442
Moz-North-Center,storageD,2005-01-15 14:00:00,0.0059163283814489325
Moz-North-Center,storageD,2005-01-15 15:00:00,0.005916140701239278
Moz-North-Center,storageD,2005-01-15 16:00:00,0.005915960413725575
Moz-North-Center,storageD,2005-01-15 17:00:00,0.005915791201645279
Moz-North-Center,storageD,2005-01-15 18:00:00,0.005915652392129781
Moz-North-Center,storageD,2005-01-15 19:00:00,0.005915551327753104
Moz-North-Center,storageD,2005-01-15 20:00:00,0.0059154290584892
Moz-North-Center,storageD,2005-01-15 21:00:00,0.005915269933810882
Moz-North-Center,storageD,2005-01-15 22:00:00,0.005915085011261457
Moz-North-Center,storageD,2005-01-15 23:00:00,0.0059148367665490175
Moz-North-Center,storageD,2005-01-16 00:00:00,0.005914579396543368
Moz-North-Center,storageD,2005-01-16 01:00:00,0.005914308305901502
Moz-North-Center,storageD,2005-01-16 02:00:00,0.005914035244274421
Moz-North-Center,storageD,2005-01-16 03:00:00,0.005913760866887632
Moz-North-Center,storageD,2005-01-16 04:00:00,0.005913485828546808
Moz-North-Center,storageD,2005-01-16 05:00:00,0.005913294330052918
Moz-North-Center,storageD,2005-01-16 06:00:00,0.005913130359252867
Moz-North-Center,storageD,2005-01-16 07:00:00,0.005912977338308832
Moz-North-Center,storageD,2005-01-16 08:00:00,0.005912818707564001
Moz-North-Center,storageD,2005-01-16 09:00:00,0.005912644361835312
Moz-North-Center,storageD,2005-01-16 10:00:00,0.005912466298371887
Moz-North-Center,storageD,2005-01-16 11:00:00,0.005912304761294365
Moz-North-Center,storageD,2005-01-16 12:00:00,0.005912154245542971
Moz-North-Center,storageD,2005-01-16 13:00:00,0.005911987216644142
Moz-North-Center,storageD,2005-01-16 14:00:00,0.00591180460432292
Moz-North-Center,storageD,2005-01-16 15:00:00,0.005911616517758203
Moz-North-Center,storageD,2005-01-16 16:00:00,0.005911435810739457
Moz-North-Center,storageD,2005-01-16 17:00:00,0.005911266153947025
Moz-North-Center,storageD,2005-01-16 18:00:00,0.005911126801582814
Moz-North-Center,storageD,2005-01-16 19:00:00,0.005911025074373112
Moz-North-Center,storageD,2005-01-16 20:00:00,0.005910902243761491
Moz-North-Center,storageD,2005-01-16 21:00:00,0.005910742715011732
Moz-North-Center,storageD,2005-01-16 22:00:00,0.00591055750364346
Moz-North-Center,storageD,2005-01-16 23:00:00,0.005910309255622944
Moz-North-Center,storageD,2005-01-17 00:00:00,0.005910041606864228
Moz-North-Center,storageD,2005-01-17 01:00:00,0.005909769928556707
